method,batch_size,context_length,gamma,tree_nodes,mean_ms,p50_ms,p95_ms,std_ms,gpu_name,model_name,tree_mode,status,error,dtype,attention_implementation,use_cache,torch_version,transformers_version,cuda_version,model_revision,past_length,timed_input_length,warmup,repeat,latency_scope,device,peak_memory_mb,source_file
linear_verification,1,128,1.0,,14.285604467391968,14.257760047912598,14.320834922790528,0.288346621500541,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
linear_verification,1,128,2.0,,17.568188190460205,17.538496017456055,17.765485572814942,0.2240893972108773,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,2,20,100,cuda_device_elapsed,cuda:1,14636.7529296875,target_verification_latency_full.csv
linear_verification,1,128,4.0,,17.572816677093506,17.566783905029297,17.670320415496825,0.0616613579818786,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,4,20,100,cuda_device_elapsed,cuda:1,14636.8623046875,target_verification_latency_full.csv
linear_verification,1,128,8.0,,16.929774837493895,16.905344009399414,17.049028873443604,0.1486539479310347,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,8,20,100,cuda_device_elapsed,cuda:1,14637.0810546875,target_verification_latency_full.csv
target_decode,1,128,,,14.256912355422974,14.247951984405518,14.330152225494384,0.0486792862166672,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,8.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,16.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,32.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
tree_verification,1,128,,64.0,14.265839691162109,14.261759757995604,14.32529888153076,0.0520069770920169,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14636.6982421875,target_verification_latency_full.csv
linear_verification,1,512,1.0,,14.154400272369385,14.130607604980469,14.262615633010864,0.090415107077047,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
linear_verification,1,512,2.0,,17.476411819458008,17.46679973602295,17.549569129943848,0.0607235295323592,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,2,20,100,cuda_device_elapsed,cuda:1,14812.892578125,target_verification_latency_full.csv
linear_verification,1,512,4.0,,17.556503067016603,17.54848003387451,17.62302169799805,0.1750714534350095,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,4,20,100,cuda_device_elapsed,cuda:1,14813.001953125,target_verification_latency_full.csv
linear_verification,1,512,8.0,,17.059255332946776,17.05521583557129,17.13904857635498,0.0477601321854256,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,8,20,100,cuda_device_elapsed,cuda:1,14813.220703125,target_verification_latency_full.csv
target_decode,1,512,,,14.229194202423097,14.219264030456545,14.286601352691653,0.1344687650873653,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,8.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,16.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,32.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
tree_verification,1,512,,64.0,14.22603964805603,14.2184157371521,14.307547426223756,0.0489211623139572,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,14812.837890625,target_verification_latency_full.csv
linear_verification,1,1024,1.0,,18.40383036613464,14.496272087097168,25.4489538192749,5.074015508745263,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
linear_verification,1,1024,2.0,,17.755950050354002,17.727487564086914,17.862655639648438,0.1253347657617915,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,2,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
linear_verification,1,1024,4.0,,17.857228031158446,17.84286403656006,17.92875270843506,0.1671001146542143,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,4,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
linear_verification,1,1024,8.0,,17.301494083404542,17.293487548828125,17.394923305511476,0.0485236392443367,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,8,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
target_decode,1,1024,,,14.194747829437256,14.187151908874512,14.258278274536131,0.0410134215102072,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
tree_verification,1,1024,,8.0,14.43666275024414,14.417920112609863,14.508081436157228,0.0972985732350374,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
tree_verification,1,1024,,16.0,14.43666275024414,14.417920112609863,14.508081436157228,0.0972985732350374,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
tree_verification,1,1024,,32.0,14.43666275024414,14.417920112609863,14.508081436157228,0.0972985732350374,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
tree_verification,1,1024,,64.0,14.43666275024414,14.417920112609863,14.508081436157228,0.0972985732350374,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15077.802734375,target_verification_latency_full.csv
linear_verification,1,2048,1.0,,15.550268135070802,14.475359916687012,24.008851337432866,3.794476809760681,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
linear_verification,1,2048,2.0,,17.949922561645508,17.92526340484619,18.042880725860595,0.1146569789678553,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,2,20,100,cuda_device_elapsed,cuda:1,15528.810546875,target_verification_latency_full.csv
linear_verification,1,2048,4.0,,17.95088119506836,17.910271644592285,18.15675449371338,0.2442577371135471,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,4,20,100,cuda_device_elapsed,cuda:1,15528.904296875,target_verification_latency_full.csv
linear_verification,1,2048,8.0,,17.382788581848146,17.345952033996582,17.63097515106201,0.1602855446689807,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,8,20,100,cuda_device_elapsed,cuda:1,15529.091796875,target_verification_latency_full.csv
target_decode,1,2048,,,14.43138045310974,14.42139196395874,14.54114875793457,0.0571959164199578,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
tree_verification,1,2048,,8.0,14.575318117141723,14.55462408065796,14.776118612289428,0.1323886126450667,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
tree_verification,1,2048,,16.0,14.575318117141723,14.55462408065796,14.776118612289428,0.1323886126450667,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
tree_verification,1,2048,,32.0,14.575318117141723,14.55462408065796,14.776118612289428,0.1323886126450667,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
tree_verification,1,2048,,64.0,14.575318117141723,14.55462408065796,14.776118612289428,0.1323886126450667,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,2048,1,20,100,cuda_device_elapsed,cuda:1,15528.763671875,target_verification_latency_full.csv
linear_verification,2,128,1.0,,15.243227834701536,15.237040042877195,15.31951847076416,0.0510833010800079,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
linear_verification,2,128,2.0,,17.88507577896118,17.868303298950195,17.955695343017577,0.1442224498879133,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,2,20,100,cuda_device_elapsed,cuda:1,14695.740234375,target_verification_latency_full.csv
linear_verification,2,128,4.0,,17.745818881988527,17.73628807067871,17.817907428741456,0.0596885142109406,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,4,20,100,cuda_device_elapsed,cuda:1,14695.958984375,target_verification_latency_full.csv
linear_verification,2,128,8.0,,17.298262996673586,17.291407585144043,17.38373966217041,0.0531966042485943,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,8,20,100,cuda_device_elapsed,cuda:1,14696.396484375,target_verification_latency_full.csv
target_decode,2,128,,,15.30493158340454,15.294303894042969,15.390623950958252,0.057367045332092,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
tree_verification,2,128,,8.0,15.289765796661378,15.286448001861572,15.370376014709471,0.0432087023377444,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
tree_verification,2,128,,16.0,15.289765796661378,15.286448001861572,15.370376014709471,0.0432087023377444,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
tree_verification,2,128,,32.0,15.289765796661378,15.286448001861572,15.370376014709471,0.0432087023377444,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
tree_verification,2,128,,64.0,15.289765796661378,15.286448001861572,15.370376014709471,0.0432087023377444,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,128,1,20,100,cuda_device_elapsed,cuda:1,14695.630859375,target_verification_latency_full.csv
linear_verification,2,512,1.0,,15.251655378341674,15.221823692321776,15.326560115814209,0.1932142612297687,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
linear_verification,2,512,2.0,,17.903080158233642,17.890304565429688,18.02406187057495,0.092612010335312,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,2,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
linear_verification,2,512,4.0,,17.722402534484864,17.709599494934082,17.83326416015625,0.0738345066475992,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,4,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
linear_verification,2,512,8.0,,17.290218505859375,17.283567428588867,17.367107772827147,0.0562083089321872,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,8,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
target_decode,2,512,,,15.247433919906616,15.245840072631836,15.319532585144042,0.0517561953885746,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
tree_verification,2,512,,8.0,15.191171884536743,15.190127849578856,15.266651105880737,0.043665550144574,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
tree_verification,2,512,,16.0,15.191171884536743,15.190127849578856,15.266651105880737,0.043665550144574,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
tree_verification,2,512,,32.0,15.191171884536743,15.190127849578856,15.266651105880737,0.043665550144574,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
tree_verification,2,512,,64.0,15.191171884536743,15.190127849578856,15.266651105880737,0.043665550144574,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,512,1,20,100,cuda_device_elapsed,cuda:1,15077.794921875,target_verification_latency_full.csv
linear_verification,2,1024,1.0,,15.335428800582886,15.299680233001707,15.37777738571167,0.2583310327356058,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15528.794921875,target_verification_latency_full.csv
linear_verification,2,1024,2.0,,17.932041893005373,17.926655769348145,18.02793045043945,0.0523315206262354,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,2,20,100,cuda_device_elapsed,cuda:1,15528.888671875,target_verification_latency_full.csv
linear_verification,2,1024,4.0,,17.836515731811524,17.843152046203613,17.928503704071044,0.1161574706275415,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,4,20,100,cuda_device_elapsed,cuda:1,15529.076171875,target_verification_latency_full.csv
linear_verification,2,1024,8.0,,17.308646068572997,17.30457592010498,17.375162887573243,0.0477206362477907,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,8,20,100,cuda_device_elapsed,cuda:1,15529.451171875,target_verification_latency_full.csv
target_decode,2,1024,,,15.335514888763427,15.322512149810793,15.42758102416992,0.1009844327243539,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15528.794921875,target_verification_latency_full.csv
tree_verification,2,1024,,8.0,15.270606355667114,15.26476764678955,15.35615644454956,0.043133014275136,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15528.794921875,target_verification_latency_full.csv
tree_verification,2,1024,,16.0,15.270606355667114,15.26476764678955,15.35615644454956,0.043133014275136,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15528.794921875,target_verification_latency_full.csv
tree_verification,2,1024,,32.0,15.270606355667114,15.26476764678955,15.35615644454956,0.043133014275136,NVIDIA GeForce RTX 4090,Qwen/Qwen2.5-7B-Instruct,fixed_forward_approx,success,,bfloat16,sdpa,True,2.5.1.post303,5.8.0,12.0,a09a35458c702b33eeacc393d103063234e8bc28,1024,1,20,100,cuda_device_elapsed,cuda:1,15528.794921875,target_verification_latency_full.csv
